GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Emission and pollution taxes (114522E),Oil & Gas,Waste Management Fee,National Environmental Protection Agency,- ,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Fee,National Environmental Protection Agency,47000,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Renewal Fee,National Environmental Protection Agency,- ,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Not applicable,Export Duty,Ministry of Finance (Customs Department),1226528784,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Royalties (1415E1),Mining,Royalties,Ministry of Mines and Petroleum (Revenue Department),2132228078.51,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),Mining,Surface Rent,Ministry of Mines and Petroleum (Revenue Department),139823969.01,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)",Mining,Penalty Fee,Ministry of Mines and Petroleum (Revenue Department),5934753,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Bidding Fee,Ministry of Mines and Petroleum (Revenue Department),4053388,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),Mining,Site Accommodation Rent,Ministry of Mines and Petroleum (Revenue Department),2446728,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Licence fees (114521E),Mining,License Fee - Exploitation,Ministry of Mines and Petroleum (Revenue Department),375052,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Document Fee,Ministry of Mines and Petroleum (Revenue Department),313488,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Licence fees (114521E),Mining,License Fee,Ministry of Mines and Petroleum (Revenue Department),55000,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Administrative fees for government services (1422E),Mining,Guarantee Fee,Ministry of Mines and Petroleum (Revenue Department),12520,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)",Mining,Penalties of Late Payment,Ministry of Mines and Petroleum (Revenue Department),8514,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
From state-owned enterprises (1412E1),"Mining, Oil and Gas",Transfers of SOE net profit made to the MoF,Ministry of Finance (Revenue Department),596344082,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Ordinary taxes on income, profits and capital gains (1112E1)","Mining, Oil and Gas",Corporate income tax (CIT),Ministry of Finance (Revenue Department),266302019,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"General taxes on goods and services (VAT, sales tax, turnover tax) (1141E)","Mining, Oil and Gas",Business Receipts Tax (BRT) 4%,Ministry of Finance (Revenue Department),200108724,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on payroll and workforce (112E),"Mining, Oil and Gas",Withholding Tax on Contractors,Ministry of Finance (Revenue Department),20701084.29,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Other rent payments (1415E5),"Mining, Oil and Gas",Other Tax,Ministry of Finance (Revenue Department),4973114,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
"Fines, penalties, and forfeits (143E)","Mining, Oil and Gas",Penalties of Delay,Ministry of Finance (Revenue Department),1270150,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Mining,Fixed Tax on Exports,Ministry of Finance (Customs Department),168046305,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Customs and other import duties (1151E),Mining,Penalty on Imports,Ministry of Finance (Customs Department),30403595,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Mining,Other Fee on Exports,Ministry of Finance (Customs Department),28285938,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Taxes on exports (1152E),Mining,Penalty on Exports,Ministry of Finance (Customs Department),6647662,AFN,Afghanistan,AFG,2018,2017-12-21,2018-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Fee,National Environmental Protection Agency,34000,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Emission and pollution taxes (114522E),Mining,Environmental License Renewal Fee,National Environmental Protection Agency,,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
Emission and pollution taxes (114522E),Gas,Waste Management Fee,National Environmental Protection Agency,,AFN,Afghanistan,AFG,2019,2018-12-21,2019-12-20
